time,current,omega,omega_meas,theta,tau_load,V_in
0,0,0,0.26883356977305,0,0,0
0.0005,0,0,0.916942507297543,0,0,0
0.001,0,0,-1.12942343050182,0,0,0
0.0015,0,0,0.43108666018406,0,0,0
0.002,0,0,0.15938261992949,0,0,0
0.0025,0,0,-0.653844148152637,0,0,0
0.003,0,0,-0.216796011152842,0,0,0
0.0035,0,0,0.171312233269325,0,0,0
0.004,0,0,1.78919846986288,0,0,0
0.0045,0,0,1.38471851494244,0,0,0
0.005,0,0,-0.674943470078261,0,0,0
0.0055,0,0,1.51746173316593,0,0,0
0.006,0,0,0.362702112473053,0,0,0
0.0065,0,0,-0.0315274365948281,0,0,0
0.007,0,0,0.357371451913048,0,0,0
0.0075,0,0,-0.102483029149887,0,0,0
0.008,0,0,-0.062072174108156,0,0,0
0.0085,0,0,0.744848803892732,0,0,0
0.009,0,0,0.70451724490024,0,0,0
0.0095,0,0,0.708596206714807,0,0,0
0.01,0,0,0.33574856680404,0,0,0
0.0105,0,0,-0.603743461342519,0,0,0
0.011,0,0,0.358619325664419,0,0,0
0.0115,0,0,0.815117644582365,0,0,0
0.012,0,0,0.244446885155895,0,0,0
0.0125,0,0,0.51734650495893,0,0,0
0.013,0,0,0.363442566691619,0,0,0
0.0135,0,0,-0.151720462393008,0,0,0
0.014,0,0,0.146935733548329,0,0,0
0.0145,0,0,-0.393641401879319,0,0,0
0.015,0,0,0.444197815878821,0,0,0
0.0155,0,0,-0.573535053484575,0,0,0
0.016,0,0,-0.534435229084016,0,0,0
0.0165,0,0,-0.404749347212438,0,0,0
0.017,0,0,-1.47214208099745,0,0,0
0.0175,0,0,0.719190146407549,0,0,0
0.018,0,0,0.162595269728099,0,0,0
0.0185,0,0,-0.377464159584852,0,0,0
0.019,0,0,0.685149270047614,0,0,0
0.0195,0,0,-0.855758209426849,0,0,0
0.02,0,0,-0.0511212230427454,0,0,12
0.0205,7.499500125,0.22495000625,0.104226485446321,0,0,12
0.021,10.309313806948,0.684018870545837,0.843622240128588,0.000112475003125,0,12
0.0215,11.3597161323671,1.23054670493371,1.38697600325242,0.000454484438397919,0,12
0.022,11.7500493067565,1.809511949127,1.37707199046477,0.00106975779086477,0,12
0.0225,11.8927501294781,2.40027270942911,2.38524706133097,0.00197451376542827,0,12
0.023,11.9425512306879,2.99508520457641,2.91264569497189,0.00317465012014283,0,12
0.0235,11.9575031672446,3.59104459773978,3.90489824150415,0.00467219272243103,0,12
0.024,11.9593845826524,4.18706146348099,4.73369429800073,0.00646771502130092,0,12
0.0245,11.9563660992667,4.78272745824544,5.33736410705264,0.00856124575304142,0,12
0.025,11.9515130603887,5.37788975748214,4.94606334648778,0.0109526094821641,0,12
0.0255,11.945975477626,5.97249139853911,6.01117094410432,0.0136415543609052,0,12
0.026,11.9401847935437,6.56651138260347,5.95945286079577,0.0166278000601748,0,12
0.0265,11.9343028673927,7.15994220293252,6.60319183218914,0.0199110557514765,0,12
0.027,11.9283904196927,7.75278141419035,7.74935675013868,0.0234910268529428,0,12
0.0275,11.9224702270632,8.34502846954237,9.11134362368474,0.0273674175600379,0,12
0.028,11.916550830832,8.93668353403825,8.55185057716141,0.0315399317948091,0,12
0.0285,11.9106354317206,9.5277470394329,9.71343644581293,0.0360082735618283,0,12
0.029,11.9047252268354,10.1182195171703,10.0054273160347,0.0407721470815447,0,12
0.0295,11.8988206615964,10.7081015357252,11.2667796051324,0.0458312568401299,0,12
0.03,11.8929218994195,11.2973936770957,10.7528615295696,0.0511853076079925,0,12
0.0305,11.8870289979257,11.8860965279848,11.9023752600673,0.0568340044465403,0,12
0.031,11.8811419750489,12.4742106764924,12.7504741870485,0.0627770527105327,0,12
0.0315,11.8752608338375,13.0617367108743,13.6120418198147,0.0690141580487789,0,12
0.032,11.8693855717589,13.6486752190772,14.4207811668292,0.075545026404216,0,12
0.0325,11.8635161841903,14.2350267885647,14.2779923551524,0.0823693640137546,0,12
0.033,11.8576526657288,14.8207920062521,14.0749968509333,0.089486877408037,0,12
0.0335,11.851795010682,15.4059714584827,15.0348205398528,0.096897273411163,0,12
0.034,11.8459432132528,15.9905657310189,15.4597748643589,0.104600259140404,0,12
0.0345,11.8400972676086,16.5745754090392,17.7498040210402,0.112595542005914,0,12
0.035,11.8342571679068,17.158001077138,16.8502001364046,0.120882829710433,0,12
0.0355,11.8284229083051,17.7408433193254,18.1148817111774,0.129461830249002,0,12
0.036,11.8225944829646,18.3231027190273,18.2268934637332,0.138332251908665,0,12
0.0365,11.8167718860516,18.9047798590865,19.3490850717969,0.147493803268179,0,12
0.037,11.8109551117378,19.4858753217629,19.103450703479,0.156946193197722,0,12
0.0375,11.8051441542008,20.0663896887341,19.3652552040647,0.166689130858603,0,12
0.038,11.7993390076237,20.646323541096,19.9351355785503,0.176722325702971,0,12
0.0385,11.7935396661955,21.2256774593635,21.4697744142935,0.187045487473519,0,12
0.039,11.7877461241112,21.8044520234709,21.7157644451615,0.1976583262032,0,12
0.0395,11.7819583755715,22.3826478127727,22.284621068869,0.208560552214936,0,12
0.04,11.7761764147826,22.9602654060438,23.6699204813651,0.219751876121322,0,12
0.0405,11.770400235957,23.5373053814806,23.6830975684727,0.231232008824344,0,12
0.041,11.7646298333126,24.1137683167011,24.2126738434333,0.243000661515084,0,12
0.0415,11.7588652010733,24.6896547887457,25.4835043337328,0.255057545673435,0,12
0.042,11.7531063334686,25.264965374078,24.8627323959032,0.267402373067808,0,12
0.0425,11.7473532247339,25.8397006485848,26.1880128565096,0.280034855754847,0,12
0.043,11.7416058691104,26.4138611875772,26.8314052701136,0.292954706079139,0,12
0.0435,11.7358642608449,26.987447565791,26.865589995602,0.306161636672928,0,12
0.044,11.73012839419,27.5604603573872,27.6682954005891,0.319655360455823,0,12
0.0445,11.7243982634042,28.1329001359526,27.5499781702116,0.333435590634517,0,12
0.045,11.7186738627516,28.7047674745005,28.1307910850512,0.347502040702493,0,12
0.0455,11.712955186502,29.2760629454712,29.3285003034795,0.361854424439743,0,12
0.046,11.707242228931,29.8467871207325,30.207914136845,0.376492455912479,0,12
0.0465,11.70153498432,30.4169405715803,31.7096861978884,0.391415849472845,0,12
0.047,11.695833446956,30.9865238687393,30.6530785333886,0.406624319758635,0,12
0.0475,11.6901376111317,31.5555375823634,31.6492030946529,0.422117581693005,0,12
0.048,11.6844474711457,32.1239822820364,32.0827350693509,0.437895350484187,0,12
0.0485,11.678763021302,32.6918585367725,31.725347077847,0.453957341625205,0,12
