time,omega,omega_meas,tau_load
0,0,0.26883356977305,0
0.001,0,0.916942507297543,0
0.002,0,-1.12942343050182,0
0.003,0,0.43108666018406,0
0.004,0,0.15938261992949,0
0.005,0,-0.653844148152637,0
0.006,0,-0.216796011152842,0
0.007,0,0.171312233269325,0
0.008,0,1.78919846986288,0
0.009,0,1.38471851494244,0
0.01,0,-0.674943470078261,0
0.011,0,1.51746173316593,0
0.012,0,0.362702112473053,0
0.013,0,-0.0315274365948281,0
0.014,0,0.357371451913048,0
0.015,0,-0.102483029149887,0
0.016,0,-0.062072174108156,0
0.017,0,0.744848803892732,0
0.018,0,0.70451724490024,0
0.019,0,0.708596206714807,0
0.02,0,0.33574856680404,0
0.021,0,-0.603743461342519,0
0.022,4.8,5.15861932566442,0
0.023,4.7952,5.61031764458236,0
0.024,9.5808048,9.82525168515589,0
0.025,9.5712335952,10.0885801001589,0
0.026,14.3424911520048,14.7059337186964,0
0.027,14.3281774032624,14.1764569408694,0
0.028,19.0851355011455,19.2320712346939,0
0.029,19.0661077355515,18.6724663336721,0
0.03,23.8088139869065,24.2530118027854,0
0.031,23.7851005983579,23.2115655448733,0
0.032,28.5136024443475,27.9791672152634,0
0.033,28.4852316941185,28.080482346906,0
0.034,33.1995764053203,31.7274343243228,0
0.035,33.1665764226308,33.8857665690384,0
0.036,37.8668110996817,38.0294063694098,0
0.037,37.8292098822632,37.4517457226784,0
0.038,42.5153814565004,43.200530726548,0
0.039,42.4732068711599,41.6174486617331,0
0.04,47.1453621052597,47.094240882217,0
0.041,47.0986418884412,46.9779183676375,0
0.042,51.7568273770555,51.9164307466383,0
0.043,51.7055891353988,51.8620184337175,0
0.044,56.3498513057889,55.9174113471267,0
0.045,56.2941225166868,56.2790968685887,0
0.046,60.9245076293549,60.8420681197504,0
0.047,60.8643156415074,61.1781692852718,0
0.048,65.4808697908253,66.0275026253451,0
0.049,65.4162418247921,65.9708784735993,0
0.05,70.019010939628,69.5871845286337,0
0.051,69.949974088378,69.9886536339433,0
0.052,74.5390039327208,73.9319454109131,0
0.053,74.4655851621802,73.9088347914368,0
0.054,79.0409213357604,79.0374966717088,0
0.055,78.9631474853579,79.7294626395003,0
0.056,83.5248354242678,83.140002467391,0
0.057,83.4427332074775,83.6284226138576,0
0.058,87.9908181847875,87.8780259836519,0
0.059,87.9044141896703,88.4630922590776,0
0.06,92.4389413160435,91.8944091685174,0
0.061,92.3482620057853,92.3645407378677,0
0.062,96.8692762300895,97.1455397406456,0
0.063,96.7743479435378,97.3246530524782,0
0.064,101.281894053456,102.054000001208,0
0.065,101.182743005654,101.225708572241,0
0.066,105.67686562829,104.931070472971,0
0.067,105.573517911008,105.202366992379,0
0.068,100.454261513494,99.9234706468338,0
0.069,100.356343095762,101.531571707763,0
0.07,104.852542385858,104.544741445124,0
0.071,104.750421524089,105.124459915941,0
0.072,101.941918185851,101.845708930557,0
0.073,102.765844298795,103.210149511505,0
0.074,106.333326586994,105.95090196871,0
0.075,107.151213439312,106.450078954642,0
0.076,101.107175393794,100.395987431248,0
0.077,101.9286526236,102.17274957853,0
0.078,105.501925214989,105.41323763668,0
0.079,106.317364740514,106.21933799661,0
0.08,100.279102074604,100.988757149925,0
0.081,101.098133544218,101.24392573121,0
0.082,104.677166634836,104.776072161568,0
0.083,105.49016197695,106.284011521937,0
0.084,102.296401754071,101.894168775896,0
0.085,100.271395089265,100.61970729719,0
0.086,106.689241153719,107.106785236256,0
0.087,104.663891662844,104.542034092655,0
0.088,101.464509538595,101.572344581797,0
0.089,102.719894461173,102.136972495431,0
0.09,105.857396115518,105.283419726069,0
0.091,107.105877381673,107.158314739682,0
0.092,100.63271804979,100.993845065903,0
0.093,101.883927031479,103.176672657787,0
0.094,105.028935968609,104.695490633258,0
0.095,106.273246314416,106.366911826705,0
0.096,100.48984494015,100.448597727464,0
0.097,101.053936730532,100.087425271607,0
0.098,104.887321468599,104.667838391631,0
0.099,105.445887598872,104.548548178144,0
0.1,100.861674067777,101.281861832654,0
0.101,100.228688262008,99.7846722208431,0
0.102,105.258860357311,105.308906773881,0
0.103,104.622743336864,104.350478871869,0
0.104,100.038461032903,100.190221430227,0
0.105,102.208959395298,101.908796114231,0
0.106,104.436136690409,104.681119350996,0
0.107,106.597896380422,106.967577942224,0
